date,dailyopenhourmean,dailytemperaturemean
2015-01-11,0,2.8
2015-01-15,43168.85925,7.2
2015-01-17,0,0
2015-01-19,46155.205,0.6
2015-01-20,45036.9475,1.7
2015-01-26,28133.029,2.2
2015-01-27,46562.8475,0.6
2015-01-28,58373.38075,3.9
2015-01-31,0,0
2015-02-01,0,-1.1
2015-02-02,59663.22225,-3.9
2015-02-03,59570.50675,-1.1
2015-02-04,58108.4805,-2.2
2015-02-05,58071.42,-1.7
2015-02-06,39975.8375,-0.6
2015-02-07,0,-0.6
2015-02-08,0,0
2015-02-09,57882.88175,-1.1
2015-02-10,56292.74925,1.7
2015-02-11,56543.98325,6.1
2015-02-12,38035.27175,5
2015-02-13,36686.03025,6.7
2015-02-14,0,4.4
2015-02-15,0,4.4
2015-02-16,37483.451,2.8
2015-02-17,36053.70575,2.8
2015-02-18,36400.68725,3.3
2015-02-23,53015.87325,2.8
2015-02-24,51639.73375,5
2015-02-25,50383.542,1.7
2015-02-26,51653.35,3.9
2015-02-27,50307.255,2.2
2015-02-28,0,3.9
2015-03-01,0,9.4
2015-03-02,34414.47175,6.1
2015-03-03,48307.63375,4.4
2015-03-04,48680.46375,4.4
2015-03-05,47826.565,4.4
2015-03-06,48752.34125,4.4
2015-03-07,0,6.1
2015-03-08,0,7.2
2015-03-09,48202.33075,5.6
2015-03-10,32503.978,9.4
2015-03-11,30615.18725,6.1
2015-03-12,30658.1095,5.6
2015-03-13,30211.4785,6.1
2015-03-14,0,3.3
2015-03-15,0,7.8
2015-03-16,44551.30725,7.8
2015-03-17,42765.6715,8.9
2015-03-18,42329.508,9.4
2015-03-19,28294.1,8.9
2015-03-20,28611.372,7.2
2015-03-23,18289.793,10
2015-03-24,27509.3765,6.1
2015-03-25,41854.8465,6.7
2015-03-26,41266.3805,7.8
2015-03-27,40485.025,7.2
2015-03-28,0,9.4
2015-03-29,2329.55525,12.2
2015-03-30,29076.026,12.8
2015-03-31,27377.44375,5.6
2015-04-01,27800.50675,5
2015-04-02,40065.54525,9.4
2015-04-03,27196.15675,6.7
2015-04-04,0,4.4
2015-04-05,0,5
2015-04-06,0,6.1
2015-04-07,42618.24975,7.8
2015-04-08,41643.25925,10.6
2015-04-09,27244.88875,9.4
2015-04-10,40499.52375,11.1
2015-04-11,0,11.7
2015-04-12,0,13.3
2015-04-13,27574.892,13.3
2015-04-14,8126.3595,14.4
2015-04-15,25143.6435,12.8
2015-04-16,16011.7735,13.3
2015-04-17,7115.15375,11.1
2015-04-18,0,9.4
2015-04-19,0,12.8
2015-04-20,25155.9335,12.2
2015-04-21,24924.854,14.4
2015-04-22,23562.94825,13.9
2015-04-23,14618.6055,13.9
2015-04-24,6442.1295,14.4
2015-04-25,0,14.4
2015-04-26,0,11.7
2015-04-27,13915.835,7.8
2015-04-28,32426.835,8.3
2015-04-29,32212.9575,11.1
2015-04-30,31589.229,13.3
2015-05-01,0,15.6
2015-05-02,0,17.2
2015-05-03,0,17.8
2015-05-04,21961.794,17.8
2015-05-05,21674.3385,16.1
2015-05-06,20800.268,12.8
2015-05-07,20535.838,12.8
2015-05-08,0,15
2015-05-09,0,15
2015-05-10,0,17.8
2015-05-11,13931.7975,18.3
2015-05-12,34952.3345,18.9
2015-05-13,35258.83,17.2
2015-05-14,0,8.9
2015-05-15,0,12.8
2015-05-16,0,15.6
2015-05-17,0,16.1
2015-05-18,24271.762,12.2
2015-05-19,14902.9445,10
2015-05-20,14597.4615,10
2015-05-21,15099.647,11.7
2015-05-22,7176.7305,13.3
2015-05-23,0,13.9
2015-05-24,0,17.8
2015-05-25,6543.733,13.3
2015-05-26,14095.0685,13.3
2015-05-27,27490.24325,13.3
2015-05-28,27959.03325,17.8
2015-05-29,23715.8125,17.2
2015-05-30,0,17.2
2015-05-31,0,18.3
2015-06-01,36346.17575,21.1
2015-06-02,36327.725,20
2015-06-03,37278.95,21.7
2015-06-04,39656.7255,22.8
2015-06-05,40172.6915,23.9
2015-06-06,0,21.7
2015-06-07,0,19.4
2015-06-08,39111.62825,18.3
2015-06-09,39203.9755,20
2015-06-10,26728.32,21.7
2015-11-30,46840.634,6.1
2015-12-01,46654.72575,4.4
2015-12-09,36403.1325,3.3
2015-12-11,52632.251,3.9
2015-12-12,0,4.4
2015-12-13,0,7.2
2015-12-14,54931.32825,7.8
2015-12-15,55392.44275,8.3
2016-01-01,0,5.6
2016-01-02,0,3.9
2016-01-03,0,7.8
2016-01-04,38723.263,6.7
2016-01-05,38706.1465,3.9
2016-01-06,38279.52625,6.1
2016-01-07,41081.31975,7.8
2016-01-08,27272.31525,8.9
2016-01-09,0,9.4
2016-01-10,0,9.4
2016-01-11,31311.2075,6.1
2016-01-12,29833.90375,2.8
2016-01-13,51353.328,1.1
2016-01-14,52162.727,1.7
2016-01-15,46623.6135,0
2016-01-16,0,-1.1
2016-01-17,0,-3.3
2016-01-18,56085.88425,1.1
2016-01-19,55672.48125,2.8
2016-01-20,53890.1455,-0.6
2016-01-21,36388.031,2.2
2016-01-22,55681.19625,6.7
2016-01-23,0,5
